## TableName:  agg_c_avg_sales_fact_1997
## ColumnNames:  the_year,quarter,month_of_year,gender,unit_sales,fact_count
## ColumnTypes: INTEGER,VARCHAR(30),INTEGER,VARCHAR(30),INTEGER:NULL,INTEGER
## NosOfRows:  24
1997,Q1,1,F,677784,218736
1997,Q1,1,M,663152,217372
1997,Q1,2,F,574896,187040
1997,Q1,2,M,598696,196224
1997,Q1,3,F,726144,236344
1997,Q1,3,M,743628,241676
1997,Q2,4,F,599400,195060
1997,Q2,4,M,611340,200340
1997,Q2,5,F,653232,213156
1997,Q2,5,M,653790,212536
1997,Q2,6,F,627960,203280
1997,Q2,6,M,653040,211440
1997,Q3,7,F,734452,240622
1997,Q3,7,M,738854,240002
1997,Q3,8,F,646040,209746
1997,Q3,8,M,699174,226610
1997,Q3,9,F,619980,204060
1997,Q3,9,M,603300,195720
1997,Q4,10,F,589372,191146
1997,Q4,10,M,648024,210552
1997,Q4,11,F,739200,240780
1997,Q4,11,M,777000,253140
1997,Q4,12,F,NULL,267406
1997,Q4,12,M,NULL,273048
