# Checkin_7634.csv
# @version  $Id:$
# Note that there is no data for prod_id=1,2,8,9,10,11,12
## TableName: table7634
## ColumnNames: cust_loc_id,prod_id,first,request_value,shipped_value
## ColumnTypes: INTEGER,INTEGER,DECIMAL(10,2):null,DECIMAL(10,2),DECIMAL(10,2)
## NosOfRows: 40
1,3,,11,11
1,4,,12,12
1,5,,13,13
1,6,,14,14
1,7,,15,15
2,3,,21,21
2,4,,22,22
2,5,,23,23
2,6,,24,24
2,7,,25,25
3,3,,31,31
3,4,,32,32
3,5,,33,33
3,6,,34,34
3,7,,35,35
4,3,,41,41
4,4,,42,42
4,5,,43,43
4,6,,44,44
4,7,,45,45
5,3,,51,51
5,4,,52,52
5,5,,53,53
5,6,,54,54
5,7,,55,55
6,3,,61,61
6,4,,62,62
6,5,,63,63
6,6,,64,64
6,7,,65,65
7,3,,71,71
7,4,,72,72
7,5,,73,73
7,6,,74,74
7,7,,75,75
8,3,,81,81
8,4,,82,82
8,5,,83,83
8,6,,84,84
8,7,,85,85
# geography dimension
## TableName: geography7631
## ColumnNames: cust_loc_id,state_cd,city_nm,zip_cd
## ColumnTypes: INTEGER,VARCHAR(20),VARCHAR(20),VARCHAR(20)
## NosOfRows: 8 
1,New York,New York,1000
2,New York,New York,1001
3,New York,Albany,1010
4,New York,Albany,1011
5,California,San Fransisco,2000
6,California,San Fransisco,2001
7,California,San Diego,2010
8,California,San Diego,2011
# product dimension
## TableName: prod7631
## ColumnNames: prod_id,class,brand,item
## ColumnTypes: INTEGER,VARCHAR(30),VARCHAR(30),VARCHAR(30)
1,Class0,Brand01,Item011
2,Class0,Brand01,Item011
3,Class1,Brand11,Item111
4,Class1,Brand11,Item112
5,Class1,Brand12,Item121
6,Class1,Brand12,Item122
7,Class1,Brand12,Item123
8,Class2,Brand21,Item211
9,Class2,Brand21,Item212
10,Class2,Brand22,Item121
11,Class2,Brand22,Item122
12,Class2,Brand22,Item123
